Master_Record_Number,County,City,Date,Year,Crash_Type,Cross_Street,Primary_Factor,Manner_of_Collision,Injury_Status,Light_Conditions,Weather_Conditions,Surface_Conditions,Latitude,Longitude,Nature_of_Injury,Fatal_SSI
904642438,BOONE,ZIONSVILLE,1/1/25,2025,Pedestrian,N FORD RD & BOONE VILLAGE,DRIVER DISTRACTED - EXPLAIN IN NARRATIVE,OTHER - EXPLAIN IN NARRATIVE,UNKNOWN,DARK (LIGHTED),CLEAR,DRY,39.95176,-86.27888,NONE VISIBLE,Other
904643374,HAMILTON,NOBLESVILLE,1/3/25,2025,Pedestrian,FUNNY CIDE DRIVE,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,RAN OFF ROAD,NON-INCAPACITATING,DARK (NOT LIGHTED),SNOW,WET,40.0053,-85.96789,COMPLAINT OF PAIN,Other
904648983,JOHNSON,GREENWOOD,1/9/25,2025,Pedestrian,MERIDIAN PARKE DR; KROGER,FAILURE TO YIELD RIGHT OF WAY,OTHER - EXPLAIN IN NARRATIVE,NON-INCAPACITATING,DAYLIGHT,CLEAR,DRY,39.61878,-86.15955,SEVERE BLEEDING,SSI
904651048,HAMILTON,CARMEL,1/5/25,2025,Pedestrian,E 116TH STREET & WOOD CREEK DR,PEDESTRIAN ACTION,OTHER - EXPLAIN IN NARRATIVE,UNKNOWN,DAYLIGHT,SNOW,SNOW/SLUSH,39.95667,-86.08536,COMPLAINT OF PAIN,Other
904654587,HAMILTON,FISHERS,1/17/25,2025,Pedalcyclist,LANTERN RD & NICKEL PLATE TRL,FAILURE TO YIELD RIGHT OF WAY,OTHER - EXPLAIN IN NARRATIVE,NON-INCAPACITATING,DARK (LIGHTED),CLOUDY,WET,39.96095,-86.01368,COMPLAINT OF PAIN,Other
904655467,JOHNSON,GREENWOOD,1/15/25,2025,Pedestrian,COUNTY LINE RD & EMERSON AVE,PEDESTRIAN ACTION,RIGHT TURN,POSSIBLE,DAYLIGHT,CLOUDY,SNOW/SLUSH,39.63633,-86.08289,NONE VISIBLE,Other
904657646,HANCOCK,,1/18/25,2025,Pedestrian,E OHIO ST. & EMERSON DR,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,OTHER - EXPLAIN IN NARRATIVE,INCAPACITATING,DAYLIGHT,SNOW,ICE,39.93666,-85.83659,NONE VISIBLE,Other
904658224,HAMILTON,CARMEL,1/24/25,2025,Pedestrian,N MICHIGAN RD,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,OTHER - EXPLAIN IN NARRATIVE,NON-INCAPACITATING,DAYLIGHT,CLEAR,SNOW/SLUSH,39.93113,-86.23325,COMPLAINT OF PAIN,Other
904661627,HAMILTON,WESTFIELD,1/25/25,2025,Pedestrian,PALMYRA DR & MARENGTO TRL,UNSAFE SPEED,COLLISION WITH OBJECT IN ROAD,INCAPACITATING,DARK (NOT LIGHTED),CLEAR,DRY,40.0245,-86.14742,FRACTURE/DISLOCATION,SSI
904662380,HAMILTON,WESTFIELD,1/31/25,2025,Pedalcyclist,SR 32,OTHER (VEHICLE) - EXPLAIN IN NARRATIVE,OTHER - EXPLAIN IN NARRATIVE,NOT REPORTED,DARK (LIGHTED),CLEAR,DRY,40.04227,-86.14694,NONE VISIBLE,Other
904663799,HAMILTON,FISHERS,2/3/25,2025,Pedestrian,126TH ST & THORPE CREEK PKWY,FAILURE TO YIELD RIGHT OF WAY,LEFT TURN,INCAPACITATING,DAWN/DUSK,CLEAR,DRY,39.97263,-85.89975,CRUSH INJURY,SSI
904664953,HAMILTON,WESTFIELD,2/5/25,2025,Pedestrian,US 31,FAILURE TO YIELD RIGHT OF WAY,RIGHT ANGLE,INCAPACITATING,DAYLIGHT,CLOUDY,DRY,40.04256,-86.13475,CONTUSION/BRUISE,Other
904666250,HAMILTON,NOBLESVILLE,2/9/25,2025,Pedestrian,GREENFIELD AVE & PROMISE RD,FAILURE TO YIELD RIGHT OF WAY,SAME DIRECTION SIDESWIPE,INCAPACITATING,DARK (LIGHTED),CLEAR,DRY,40.01379,-85.9711,INTERNAL,SSI
904667486,HAMILTON,CARMEL,2/10/25,2025,Pedalcyclist,GRAY RD & MAIN ST,FAILURE TO YIELD RIGHT OF WAY,OTHER - EXPLAIN IN NARRATIVE,NON-INCAPACITATING,DAYLIGHT,CLEAR,DRY,39.97859,-86.08955,ABRASION,Other
904670076,HANCOCK,GREENFIELD,2/11/25,2025,Pedestrian,WINFIELD PARK DRIVE,FAILURE TO YIELD RIGHT OF WAY,REAR END,NON-INCAPACITATING,DARK (NOT LIGHTED),CLOUDY,DRY,39.7856,-85.80164,COMPLAINT OF PAIN,Other
904672852,HANCOCK,GREENFIELD,2/18/25,2025,Pedestrian,FRANKLIN ST & MCKENZIE RD,FAILURE TO YIELD RIGHT OF WAY,OTHER - EXPLAIN IN NARRATIVE,NON-INCAPACITATING,DAYLIGHT,CLEAR,DRY,39.8004,-85.78438,MINOR BLEEDING,Other
904673770,HAMILTON,FISHERS,2/16/25,2025,Pedestrian,SR 37 & E. 141ST STREET,PEDESTRIAN ACTION,COLLISION WITH OBJECT IN ROAD,NON-INCAPACITATING,DARK (NOT LIGHTED),RAIN,WET,39.9935,-86.00378,MINOR BLEEDING,Other
904676355,HAMILTON,NOBLESVILLE,2/25/25,2025,Pedestrian,2501 MONUMENT ST & CAMELOT CT,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,OTHER - EXPLAIN IN NARRATIVE,INCAPACITATING,DAYLIGHT,CLEAR,DRY,40.05109,-85.99899,COMPLAINT OF PAIN,Other
904677440,HAMILTON,WESTFIELD,2/25/25,2025,Pedestrian,SPRINGMILL ROAD & SPRINGMILL DEPOT DR,FAILURE TO YIELD RIGHT OF WAY,OTHER - EXPLAIN IN NARRATIVE,INCAPACITATING,DAYLIGHT,CLEAR,DRY,40.01858,-86.16507,ABRASION,Other
904677774,HENDRICKS,AVON,2/1/25,2025,Pedestrian,E US HIGHWAY 36 & RONALD REAGAN PW,PEDESTRIAN ACTION,RIGHT TURN,INCAPACITATING,DAWN/DUSK,CLEAR,DRY,39.7637,-86.33712,SEVERE BLEEDING,SSI
904678774,HENDRICKS,PLAINFIELD,2/28/25,2025,Pedestrian,STAFFORD RD & SIMMONS ST,FAILURE TO YIELD RIGHT OF WAY,RIGHT ANGLE,POSSIBLE,DAYLIGHT,CLEAR,DRY,39.69695,-86.38736,INTERNAL,SSI
904680832,HAMILTON,WESTFIELD,3/2/25,2025,Pedestrian,BYRDING DRIVE,FAILURE TO YIELD RIGHT OF WAY,BACKING CRASH,INCAPACITATING,DAYLIGHT,CLEAR,DRY,40.0151672,-86.150074,ABRASION,Other
904681456,HAMILTON,WESTFIELD,3/4/25,2025,Pedalcyclist,E 186TH ST & CELEBRATION WAY,FAILURE TO YIELD RIGHT OF WAY,RIGHT TURN,NON-INCAPACITATING,DAYLIGHT,CLOUDY,DRY,40.0571992,-86.1532153,CONTUSION/BRUISE,Other
904683847,HAMILTON,CARMEL,3/10/25,2025,Pedalcyclist,W CARMEL DRIVE & VETERANS WAY,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,LEFT TURN,NOT REPORTED,DAYLIGHT,CLEAR,DRY,39.961505,-86.128605,COMPLAINT OF PAIN,Other
904683983,HANCOCK,MCCORDSVILLE,3/8/25,2025,Pedalcyclist,COUNTY ROAD 500 WEST ,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,SAME DIRECTION SIDESWIPE,POSSIBLE,DARK (NOT LIGHTED),CLEAR,DRY,39.8702,-85.904312,COMPLAINT OF PAIN,Other
904685151,HAMILTON,FISHERS,3/14/25,2025,Pedestrian,E 116TH ST & BROOKS SCHOOL RD,FAILURE TO YIELD RIGHT OF WAY,LEFT TURN,NON-INCAPACITATING,DAYLIGHT,CLEAR,DRY,39.957682,-85.942297,ABRASION,Other
904686880,HENDRICKS,,3/14/25,2025,Pedestrian,EVESHAM PLANE & NARROW PLANE,PEDESTRIAN ACTION,COLLISION WITH OBJECT IN ROAD,INCAPACITATING,DAYLIGHT,CLEAR,DRY,39.793643,-86.343734,FRACTURE/DISLOCATION,SSI
904687383,JOHNSON,GREENWOOD,3/15/25,2025,Pedestrian,E MAIN ST,FAILURE TO YIELD RIGHT OF WAY,LEFT TURN,INCAPACITATING,DARK (LIGHTED),CLEAR,DRY,39.6142402,-86.0695578,INTERNAL,SSI
904687436,HAMILTON,WESTFIELD,3/15/25,2025,Pedestrian,E GREYHOUND PASS,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,OTHER - EXPLAIN IN NARRATIVE,NON-INCAPACITATING,DAYLIGHT,CLEAR,DRY,40.002939,-86.12374,COMPLAINT OF PAIN,Other
