year,month,enplanements,deplanements,monthly_total,pct_change_previous_year
2002,January,1667,1470,3137,0.0
2002,February,1917,1855,3772,0.0
2002,March,2187,2154,4341,0.0
2002,April,2207,2149,4356,0.0
2002,May,2183,2051,4234,0.0
2002,June,2119,1974,4093,0.0
2002,July,1929,1916,3845,0.0
2002,August,1906,1920,3826,0.0
2002,September,1762,1675,3437,0.0
2002,October,2043,1968,4011,0.0
2002,November,1734,1719,3453,0.0
2002,December,1617,1489,3106,0.0
2003,January,1659,1612,3271,4.3
2003,February,1657,1526,3183,-15.6
2003,March,1786,1781,3567,-17.8
2003,April,1792,1716,3508,-19.5
2003,May,1856,1755,3611,-14.7
2003,June,1863,1824,3687,-9.9
2003,July,2003,2039,4042,5.1
2003,August,2041,2000,4041,5.6
2003,September,2026,1967,3993,16.2
2003,October,2321,2361,4682,16.7
2003,November,1072,1023,2095,-39.3
2003,December,1003,880,1883,-39.4
2004,January,1043,1053,2096,-35.9
2004,February,1279,1202,2481,-22.1
2004,March,1452,1430,2882,-19.2
2004,April,1399,1380,2779,-20.8
2004,May,1484,1398,2882,-20.2
2004,June,1594,1540,3134,-15.0
2004,July,1550,1486,3036,-24.9
2004,August,1551,1598,3149,-22.1
2004,September,1540,1513,3053,-23.5
2004,October,1938,1853,3791,-19.0
2004,November,1642,1588,3230,54.2
2004,December,1453,1422,2875,52.7
2005,January,1400,1414,2814,34.3
2005,February,1540,1465,3005,21.1
2005,March,1592,1589,3181,10.4
2005,April,1730,1718,3448,24.1
2005,May,1885,1835,3720,29.1
2005,June,1775,1666,3441,9.8
2005,July,1579,1548,3127,3.0
2005,August,1707,1730,3437,9.1
2005,September,1589,1501,3090,1.2
2005,October,1932,1845,3777,-0.4
2005,November,1792,1985,3777,16.9
2005,December,1436,1294,2730,-5.0
2006,January,1339,1354,2693,-4.3
2006,February,1298,1272,2570,-14.5
2006,March,1429,1326,2755,-13.4
2006,April,1294,1331,2625,-23.9
2006,May,1387,1288,2675,-28.1
2006,June,1147,1112,2259,-34.4
2006,July,1025,985,2010,-35.7
2006,August,1187,1195,2382,-30.7
2006,September,1030,1018,2048,-33.7
2006,October,985,815,1800,-52.3
2006,November,831,691,1522,-59.7
2006,December,721,597,1318,-51.7
2007,January,654,598,1252,-53.5
2007,February,758,676,1434,-44.2
2007,March,698,637,1335,-51.5
2007,April,727,667,1394,-46.9
2007,May,852,854,1706,-36.2
2007,June,831,769,1600,-29.2
2007,July,687,670,1357,-32.5
2007,August,774,831,1605,-32.6
2007,September,758,818,1576,-23.0
2007,October,849,895,1744,-3.1
2007,November,857,895,1752,15.1
2007,December,645,582,1227,-6.9
2008,January,628,652,1280,2.2
2008,February,506,510,1016,-29.1
2008,March,508,506,1014,-24.0
2008,April,437,465,902,-35.3
2008,May,483,478,961,-43.7
2008,June,422,437,859,-46.3
2008,July,0,0,0,0.0
2008,August,327,335,662,-58.8
2008,September,1517,1529,3046,93.3
2008,October,2095,2101,4196,140.6
2008,November,1990,1983,3973,126.8
2008,December,2005,1894,3899,217.8
2009,January,1904,1978,3882,203.3
2009,February,1862,1895,3757,269.8
2009,March,2160,2094,4254,319.5
2009,April,1922,1917,3839,325.6
2009,May,2124,2037,4161,333.0
2009,June,2166,2229,4395,411.6
2009,July,2200,2147,4347,0.0
2009,August,2013,2140,4153,527.3
2009,September,2081,1989,4070,33.6
2009,October,2204,2238,4442,5.9
2009,November,2092,2134,4226,6.4
2009,December,2115,2032,4147,6.4
